"","O01","O04","O06","O10","O100","O101","O102","O103","O106","O118","O121","O124","O128","O131","O137","O14","O140","O145","O147","O17","O21","O22","O24","O26","O30","O31","O32","O35","O40","O43","O46","O51","O52","O56","O64","O71","O78","O90","O91","O96","O99"
"CHOYP_G6PD.2.2|m.46923 TYFIGYAR y4",0.017421944,0,0.00963135,0.0091712375,0.005663154,0.0124934405,0.0140258175,0,0.009190243,0.0140723535,0.0207435405,0.0160048925,0,0.0242311615,0.0114007075,0,0.0304910185,0,0,0,0.006343884,0.0114124835,0.008869756,0.008322138,0.0116943195,0.006863536,0.009125048,0.009549932,0.007110909,0.0093137215,0.006537778,0.0058506365,0,0.008135897,0.01126417,0,0.0127557865,0.0036710605,0.0109844965,0.007163061,0
"CHOYP_G6PD.2.2|m.46923 TYFIGYAR y5",0.01567329,0,0.0084900475,0.008299313,0,0.0108041315,0.0120751035,0,0.008378033,0.012027342,0.0185480105,0.0146215755,0,0.020955873,0.009877153,0,0.026684382,0,0,0,0.00543003,0.010052331,0.008237243,0.0077459055,0.0109358,0.00574052,0.008370758,0.0085316425,0.006250725,0.007833322,0.0057910815,0.005346532,0,0.0074123025,0.010402623,0,0.011089372,0.0029619465,0.0099649585,0.00629977,0
"CHOYP_HS12A.25.33|m.60352 APTTLLLEPDGK y4",0.0047378455,0,0,0.0047696145,0.002871064,0,0,0,0.004751468,0,0.00866703,0,0,0,0,0,0.0150725185,0,0,0.0059626765,0,0,0.0049112875,0,0.005742258,0,0.0046339415,0.001777435,0.0029859135,0,0,0.003033839,0,0.00316228,0.0068602875,0.007436324,0,0.001505128,0,0.003596165,0.003766659
"CHOYP_HS12A.25.33|m.60352 APTTLLLEPDGK y6",0.003771815,0,0.0050184445,0.004076526,0,0,0,0,0.0036624365,0,0.006886038,0,0,0.0049265665,0,0,0.012291243,0,0,0.004959032,0,0.0061840135,0.00405321,0,0.0048712085,0,0.0038780235,0,0.0025060075,0,0,0.002384112,0,0.0026549385,0,0,0,0.001176597,0,0.0029483635,0
"CHOYP_HS12A.25.33|m.60352 APTTLLLEPDGK y7",0.0057772715,0,0.0079924405,0.0058844075,0,0,0,0,0.005674418,0,0.011035165,0,0,0.0067178765,0,0,0.0181810045,0,0,0.0076210405,0,0.0090322,0.005997241,0,0,0,0.0061250065,0.00245126,0.003504543,0,0,0.0038108375,0,0.0042022545,0.0083224725,0,0,0.001937121,0,0.0044022905,0
"CHOYP_HS12A.25.33|m.60352 GIAEAISSSK y4",0.0039056675,0.004592774,0.0046662455,0.0016642565,0,0.006787973,0,0,0.003424642,0.003725102,0.00743026,0.0043014385,0,0.003476814,0.0043562695,0,0.0051813405,0.005156806,0.004144228,0.0011301205,0.0026370905,0.0051813965,0.0051041675,0.00235722,0.004554212,0.003381837,0,0,0.001547303,0.0030226145,0,0.002510285,0,0,0.003388405,0.0043955255,0.0021135365,0.0015486595,0.0045305715,0.0013131605,0.001562365
"CHOYP_HS12A.25.33|m.60352 GIAEAISSSK y5",0.004819953,0.0054052055,0.0053289805,0.002038927,0,0.008468152,0,0.0026033585,0.004335496,0.0044672755,0.008674414,0.0053938815,0.0028152225,0.004156035,0.0045651065,0,0.006710605,0,0.005021462,0,0,0.006511561,0.0055834725,0.0029399955,0,0.004015041,0,0,0.001907223,0.003375275,0,0.0028821305,0,0.0033383305,0.004214307,0,0.002365839,0,0.0056693905,0.001575709,0.001509638
"CHOYP_HS12A.25.33|m.60352 GIAEAISSSK y6",0.0121095785,0.014073914,0.0137751595,0.0049531405,0.0089160065,0.022131685,0.006368274,0,0.0103287765,0.012123764,0.0213363675,0.013270306,0.006884607,0.0103419175,0.012427304,0,0.0153155695,0.0171812785,0.012330882,0.002969719,0,0.016103994,0.0147848935,0.0074776455,0.0137403835,0.010227913,0.012152909,0,0.004305742,0.009743463,0,0.0077998515,0,0.008920965,0.011142344,0,0.006201877,0.004279417,0.0138431125,0.0038203475,0.00368871
"CHOYP_LOC100633041.1.1|m.35428 AVVEAANNFGR y5",0.0062129975,0.0046722625,0,0.004944246,0.004100048,0.00620785,0,0,0.0063167125,0.0069459155,0.0120957815,0.0101867315,0,0.0075961765,0.006142267,0,0.01138246,0,0.008381332,0.003527989,0,0.006998406,0.0057980435,0.0049965165,0.0066180195,0.0050898115,0.00617191,0.0069464085,0.0049926365,0.004446701,0,0.0039485175,0,0.0051949575,0.006803386,0,0.007574662,0.002333007,0.007563572,0.0051607775,0
"CHOYP_LOC100633041.1.1|m.35428 AVVEAANNFGR y7",0.024895246,0.0176458275,0,0.019480934,0.0167463545,0.02612059,0,0,0.0250173555,0.027433965,0.049043374,0.041308855,0,0.03040289,0.0260409985,0,0.04565457,0,0.0324007015,0.013605743,0,0.027575667,0.023403094,0.0180264665,0,0.0197085125,0.0232967965,0,0.0202107625,0.0172799385,0,0.015214999,0,0.019075197,0.0274283265,0,0.029822771,0.008427844,0.029674278,0.0196544505,0
"CHOYP_LOC100633041.1.1|m.35428 AVVEAANNFGR y8",0.022824391,0.016205045,0.0195883275,0.018080026,0.015744616,0.0236910685,0,0,0.0233822505,0,0.043857844,0.0376145165,0,0.0277660665,0.024028149,0,0.040628144,0.0295242775,0.0297341045,0.0122477055,0,0.024957808,0.0229672805,0.01688998,0,0.0188620445,0,0,0.018317172,0.015337854,0,0.014178844,0,0.0173672455,0.0250874455,0,0.027501118,0.0077618415,0.0265004435,0.0183339605,0
"CHOYP_LOC100633041.1.1|m.35428 SLTNVILGGYGTK y7",0.004770398,0,0.004149906,0.0032568685,0.0020345755,0.0041710035,0.0064359075,0,0.0045408945,0.0054142275,0.006383396,0.006098615,0,0.00501713,0.004366214,0,0.0076458825,0,0.0040006745,0.0026054575,0,0.004573262,0.004866482,0.003188127,0,0.0035375845,0.003593499,0.003370588,0.0039162245,0,0.002645689,0.0024852705,0,0.0033822475,0.005510097,0,0.005143849,0.0020689395,0.0051525085,0.002973982,0.005348012
"CHOYP_LOC100633041.1.1|m.35428 SLTNVILGGYGTK y8",0.0106921545,0,0.0095454295,0.0074852315,0,0.0095297,0,0,0.0108024665,0.012791772,0.015144499,0.0134765825,0,0.01247441,0.0101071225,0,0.017428031,0,0.008826646,0.006341323,0,0.011035644,0.0110013605,0.0075079565,0,0.0087629585,0.0080835495,0,0.008871293,0,0.0061907035,0.0057405115,0,0.0080162665,0.0128562715,0,0,0.0042823545,0.011999486,0.0071732145,0.012266818
"CHOYP_LOC100633041.1.1|m.35428 SLTNVILGGYGTK y9",0.002653571,0,0.002162215,0,0,0.0020556655,0.0029371775,0,0.002302344,0.0029109195,0.003379035,0.003006924,0,0,0.0020788925,0,0.0039724655,0,0.0018555385,0.001300266,0,0.002394362,0.002496965,0.001731884,0,0.0018448205,0.001837426,0.0019078915,0.00208807,0.0019748855,0.001290115,0.0011509895,0,0.001740722,0.0030253445,0,0,0.0009976575,0,0.0015478395,0.0027411995
"CHOYP_LOC100883864.1.1|m.41791 DYYLSLAHTVR y5",0,0.0009851925,0.000898614,0.001014663,0.0006051655,0.0013908045,0.0007263175,0,0.0009062815,0.002060765,0.0014928405,0.0022696335,0,0,0.001666552,0.0020855845,0.002392675,0,0.0014089415,0.0006718965,0.0006530585,0,0.00090905,0.00100323,0.0012574965,0,0.001095982,0.0005484075,0.0009361065,0,0,0.000983357,0.000274276,0.000807992,0,0.0012655105,0.0012152905,0,0.000958191,0,0.001233691
"CHOYP_LOC100883864.1.1|m.41791 DYYLSLAHTVR y7",0.004423876,0.003040395,0.002363342,0.0030976795,0.001561751,0.003966348,0.002025158,0,0.0025693675,0,0.0039628965,0.0059926275,0,0.0055494545,0.004524341,0.0055136715,0.007821083,0,0.003920164,0.0020976065,0.002045869,0,0.002335602,0.00259755,0.0034192055,0.0015379995,0,0.001526348,0.002640315,0.001490742,0,0.002269086,0.0006634625,0.0023021125,0.0032199205,0.004102384,0.00325252,0.00100148,0.0029276665,0,0.003769314
"CHOYP_LOC100883864.1.1|m.41791 DYYLSLAHTVR y8",0.0026999885,0.0017967,0.0014420245,0.0015652295,0,0.002164419,0.0012209735,0,0.001531615,0,0.002357395,0.0033467435,0,0,0.0024600255,0.0032986695,0.004398043,0,0.002216363,0.001234526,0.0013568295,0,0,0.001510585,0.002042973,0.000926592,0.001778976,0,0.001539348,0,0.0013018195,0.0014402695,0.0005060995,0.00146009,0.0019530685,0.0022792315,0.0021994215,0.000535548,0.0016832625,0,0.001990048
"CHOYP_LOC100883864.1.1|m.41791 IEDGWQVEEPDEWLR y6",0.0030991335,0.00185776,0.001601522,0.0017586765,0.0007783265,0.001915869,0.001628148,0,0.001535029,0.00278372,0.0029493375,0.002734816,0,0.004013425,0,0,0.00457851,0,0.001706481,0.001408707,0.0011210605,0.0023279895,0.0014576565,0.001806767,0.0025146015,0.0015634365,0.002274642,0.001116202,0,0.001162966,0.00122232,0.0016127845,0,0.00123914,0.0020182415,0,0.002517353,0.000521259,0.0020326755,0.0009067875,0.002138169
"CHOYP_LOC100883864.1.1|m.41791 IEDGWQVEEPDEWLR y8",0.002890679,0.0018237505,0,0.001771366,0.000598308,0.0017993085,0.001637855,0,0.00143393,0.002564002,0.002449599,0.002516734,0,0.003490295,0.001748362,0,0.0042905375,0,0.001529941,0.001199994,0,0.002105897,0.001301023,0.001573631,0.0025439515,0.001365235,0.002091794,0.001017313,0.001323562,0.000907224,0.0009933325,0.00141644,0,0,0.0018699555,0,0.0024106685,0,0.0018948155,0.0008013565,0.0019077975
"CHOYP_LOC100883864.1.1|m.41791 IEDGWQVEEPDEWLR y9",0.00188089,0.0011285235,0,0.001094237,0,0.001259964,0,0,0.000957448,0.0017979195,0.001831936,0.0017508295,0,0.0023787915,0.001310505,0,0.0030822255,0,0.0012577275,0.0008993575,0,0.0015103535,0,0.001067002,0.0018593475,0.0008047995,0.0014244695,0,0.0009493715,0.000677978,0.0007266225,0.0009644795,0,0.000814733,0.0012230065,0,0.0016603395,0.000328205,0.001181676,0.000667035,0.001455522
"CHOYP_LOC100883864.1.1|m.41791 VLYPNDNFFSGK y7",0.0014289345,0,0,0.0011142725,0,0.0010101435,0.001407082,0,0.000825033,0.0012353145,0.001839035,0,0,0.0019212065,0.001095619,0,0.002614905,0,0.000863632,0,0.0009751535,0,0.000893913,0,0.0016141075,0.0005476575,0.0012723595,0.0008977745,0.00075259,0.0007708495,0,0.000787645,0,0.000868727,0,0,0,0.0003616315,0.001365689,0.0006830715,0
"CHOYP_LOC100883864.1.1|m.41791 VLYPNDNFFSGK y8",0.0041779625,0.002558357,0.0027945475,0.0032761385,0.0013946295,0,0.0038095835,0,0.0030196395,0.003883716,0.0058083485,0.004494744,0,0.0061822785,0.003520855,0,0.008077518,0,0.0029575315,0.0023619655,0,0.0040714745,0.0028778575,0.0025739115,0.0042256035,0.002083011,0.003841847,0,0.002288486,0.0022250465,0.002051131,0.0024515815,0,0.002447491,0,0.004375166,0.0045460635,0.001090233,0,0.0020897135,0
"CHOYP_LOC100883864.1.1|m.41791 VLYPNDNFFSGK y9",0.0259767215,0.01788612,0,0.020363491,0,0.0210912435,0.0211793565,0,0.0165261155,0.0234250535,0.0365388405,0.0262842915,0,0.045497992,0.0200692075,0,0.051379955,0,0.016854499,0.0155307445,0,0.025811233,0.0181501355,0.016203692,0.030225787,0.012217158,0.027279348,0.017676913,0.015729477,0.013410736,0.01208739,0.0174160855,0,0.015047341,0.019258386,0,0,0.0065744755,0,0.0137304755,0
"CHOYP_MRP1.5.10|m.34368 DSTVLTIAHR y4",0.0006549535,0.000599611,0,0,0.0003513395,0.0003871425,0.000466094,0,0.000373863,0.000431874,0.000565774,0.000691114,0,0,0.000483119,0,0.001204642,0,0,0.0001768145,0.0002432695,0,0,0.0002888635,0,0,0.00035326,0,0,0,0.000236948,0,9.9752e-05,0,0.0003867435,0.000651484,0,0,0.0005327065,0.0003389385,0
"CHOYP_MRP1.5.10|m.34368 DSTVLTIAHR y5",0.001880012,0.0021636965,0,0.001528492,0.001552028,0.001718042,0.0017097615,0.0027138765,0,0.0020463975,0,0.0021573305,0,0,0.0019408275,0,0.003658698,0.0019592995,0.001525847,0.0007770615,0.001041208,0.001439881,0.00105962,0.000960037,0.0023244945,0.0008681545,0.002007506,0,0.0009465355,0,0.000620467,0.001850835,0.0003371365,0.0012539675,0,0.0021376675,0.0024604685,0,0.0020407125,0.001129771,0.0012206795
"CHOYP_MRP1.5.10|m.34368 DSTVLTIAHR y6",0.003052927,0.002806352,0,0.002851618,0.002248184,0.002584068,0.002290861,0.003971848,0.0025937675,0.003068563,0.0033520775,0.0029818745,0,0.0017366675,0.002387192,0,0.005356463,0.0029673155,0.0024012265,0.00141605,0.001367883,0.002052312,0.00142772,0,0.0033587025,0.001304722,0.002564488,0,0.001508123,0,0.000916612,0.00250515,0.000501539,0.001860438,0,0.003093564,0.003584608,0,0.0031874795,0,0.001647634
"CHOYP_MRP1.5.10|m.34368 LYAWEPSFQDK y6",0.0026048945,0,0,0.001639973,0,0.0016897525,0,0,0.001571702,0.002130422,0.0018459855,0.001712582,0,0.0013470345,0.001563645,0,0.00211484,0.002219861,0.0011760245,0.0010497965,0.0012196445,0.0016026,0.001351071,0.001319933,0.0022456535,0.0011186995,0.0019604665,0.000523022,0.001417234,0.00106089,0.00074547,0.0018565955,0,0,0,0.002030436,0.002456082,0.0006042655,0.001732089,0.0013770635,0.001284257
"CHOYP_MRP1.5.10|m.34368 LYAWEPSFQDK y7",0.0008221425,0.0010001195,0.000704695,0,0,0.0007542505,0.000795924,0,0.000666744,0.0008119505,0.000683183,0.0006038065,0.0004927985,0,0.000592637,0,0.000652626,0,0.0003928695,0,0.000475957,0.0005996675,0.0004737225,0.0004738315,0.000756122,0.000377949,0.0007797435,0,0,0,0.0003137855,0.000705962,0,0.000471411,0.0004368615,0.000765812,0.0009780815,0,0,0,0.000487567
"CHOYP_MRP1.5.10|m.34368 LYAWEPSFQDK y8",0.001227705,0,0.000906248,0.000935457,0,0.000865661,0.0010408265,0,0.0009729295,0.0012139215,0,0.0010013065,0,0.0006340665,0.0007696905,0,0.001160909,0.0011721055,0.0005334725,0.000583334,0,0.0007908895,0,0.00067607,0,0.0006326605,0.0010430465,0,0,0.0005364055,0,0.000862241,0,0.000595362,0,0,0.001290798,0.000403182,0,0.000682912,0.000782571
"CHOYP_PDIA1.1.1|m.5297 GSQQVVDYNGER y6",0.006749778,0.0234202525,0.0137161315,0,0,0,0,0,0,0,0,0,0,0,0.009971831,0,0,0,0.0175114975,0.013415954,0,0,0,0,0,0,0.019990796,0.027282576,0.009768689,0.0115985645,0.014220883,0,0.012449513,0,0,0.0215425215,0,0,0,0.0067337395,0
"CHOYP_PDIA1.1.1|m.5297 GSQQVVDYNGER y7",0.0169031495,0.0616239035,0.034557213,0,0,0,0,0,0,0,0,0,0,0,0.025058975,0,0,0,0.043708382,0.03687128,0,0,0,0,0,0,0.051289999,0.071245499,0.0237968165,0.030910964,0,0,0.0312811,0,0,0.055456511,0,0,0,0.016244658,0
"CHOYP_PDIA1.1.1|m.5297 GSQQVVDYNGER y8",0,0.025530523,0.0143462385,0,0,0,0,0,0,0,0,0,0,0,0.010391996,0,0,0,0.0186165115,0.016026334,0,0,0,0,0.020812245,0,0.0222289935,0.0301880945,0.010561767,0.012849314,0,0,0.013108822,0,0,0.023467468,0,0,0,0.007062991,0
"CHOYP_PDIA1.1.1|m.5297 LITLGEDMTK y3",0.0088150115,0.0046328985,0,0.0054638135,0,0.006316862,0,0,0.00479794,0,0.008239789,0,0,0.008586678,0.005971128,0,0.011524417,0,0,0,0,0,0.005139736,0.005601561,0,0.0039736265,0,0,0.004459194,0,0.0064235885,0.003803619,0,0.0057182515,0,0,0,0.0027574475,0,0.0038444355,0
"CHOYP_PDIA1.1.1|m.5297 LITLGEDMTK y6",0.0930455975,0.0505968455,0,0.0612678885,0,0,0.0581261805,0,0.0509195495,0.0857452735,0.0879437225,0,0,0.0888475565,0.0603765715,0,0.1208888705,0,0,0,0,0.062581407,0.0584234425,0.058341003,0,0.042499413,0.05691884,0,0,0,0.0678678085,0.041530829,0,0.0602016765,0,0,0,0.0288413055,0,0.0425052765,0
"CHOYP_PDIA1.1.1|m.5297 LITLGEDMTK y7",0.0410670845,0.0224760305,0,0.027907259,0,0,0.0257551005,0,0.0235740575,0.0383941495,0.0393975925,0,0,0.039848918,0.0263050045,0,0.0521642435,0,0,0,0,0,0.026260562,0.0271452795,0,0.019794561,0.0264507555,0,0.0208012505,0,0.0303288695,0.018735481,0,0.027296378,0,0,0,0.0138403265,0,0.0196605025,0
"CHOYP_PDIA1.1.1|m.5297 TSPEIVNWLR y5",0.0396698125,0,0,0.031130093,0.013404611,0.025010108,0,0,0.029761397,0.035792913,0.049036175,0.0379896345,0,0.049151539,0.0257249635,0,0.040372834,0,0.025083409,0.020875632,0,0.0326451095,0.030023719,0.02924116,0,0.0327575175,0.029851043,0,0.025410729,0.0343406235,0,0.0208643395,0,0.0295580145,0.0364968545,0,0,0.014870117,0,0.0176071535,0.04261216
"CHOYP_PDIA1.1.1|m.5297 TSPEIVNWLR y6",0.0704477165,0,0,0.057070191,0.0234437055,0.04478174,0,0,0.054375643,0.0634444805,0.086077205,0,0,0.088241729,0.046651022,0,0.0728479375,0,0.044427604,0.03722722,0,0.0572534755,0.054005077,0.0513895955,0,0.058687329,0.0535118705,0,0.045104431,0.0607508285,0,0.0375426815,0,0.0542985075,0.067598851,0,0,0.0263839395,0,0.0316789045,0.0753157865
"CHOYP_PDIA1.1.1|m.5297 TSPEIVNWLR y7",0.0352876225,0,0,0.029364491,0.0124467525,0.0228247635,0,0,0.0273204455,0.032500815,0.0443698295,0.033524356,0,0.0426896065,0.023790032,0,0.036630166,0,0.022730342,0.0194107265,0,0.0285377315,0.0276896995,0.0261730585,0,0.030096297,0.0268439105,0.0328155875,0.0233366685,0.0306972375,0,0.020075957,0,0.027541762,0.0342851415,0,0,0.0136939395,0,0.0161302085,0.0379405215
"CHOYP_PDIA3.1.1|m.60223 AGEFSEEYGGPR y7",0.0117509485,0.0121789055,0,0.0101364005,0.0064920875,0.0087091395,0.010056622,0,0.00932164,0.009661366,0.0153715485,0.0150906035,0,0.013687131,0.0090183505,0,0.016266665,0.0124970005,0.0078170685,0.00774604,0.0073185925,0.0102058145,0.010347047,0.0098576045,0.0130586385,0.0078612255,0,0.0095812455,0.009232635,0.008420564,0.0101839485,0.0082076475,0,0.011078322,0.0117197385,0,0.0145427265,0.005852354,0.010154636,0.007140134,0.009532295
"CHOYP_PDIA3.1.1|m.60223 AGEFSEEYGGPR y8",0.035327424,0.035950225,0.0285700585,0.031867744,0.0201870255,0.026674336,0.029898672,0,0.0279895315,0.0283964475,0.0457968095,0.046687798,0,0.041368695,0.027793607,0,0.0517847265,0,0.023526021,0.0236411435,0.021999719,0.0314039115,0.030702017,0.028018398,0.0403851615,0.0245895775,0.0327515665,0.029246282,0.027827303,0.024462941,0.0302561195,0.025543661,0.0187839325,0.0325874265,0.035746514,0,0.0422910585,0.0162449885,0.0311503885,0.0206582695,0.028005351
"CHOYP_PDIA3.1.1|m.60223 AGEFSEEYGGPR y9",0.0191651875,0.019519274,0.015643802,0.0174191055,0.0115680875,0.014780696,0.016383605,0,0.0162543915,0.015313439,0.026054491,0.025616922,0,0.022666119,0.0154240395,0,0.02796343,0,0.0128731625,0.012588443,0.0118046915,0.017096528,0.017123621,0.015401751,0.021469174,0.0135474515,0,0,0.015458853,0.014319217,0.0168718865,0.014611907,0.010916389,0.0179569995,0.020005635,0,0.0232937535,0.0091418415,0.0171021155,0.0115797905,0.015768909
"CHOYP_PDIA3.1.1|m.60223 IFFAVSNSK y4",0.016058056,0,0,0.012580882,0.005222557,0,0,0,0.010416959,0.0116661645,0.0177847775,0,0,0.016131059,0.007752536,0,0,0,0.0063809075,0.007471892,0.0085076165,0.0141655295,0.0116970575,0,0,0,0.012514802,0.0044416705,0.010223284,0,0.007773789,0.0088855175,0,0.0117080295,0,0.0138873385,0,0.004819872,0,0.0075768715,0.012480116
"CHOYP_PDIA3.1.1|m.60223 IFFAVSNSK y5",0.0284849885,0,0.0214149355,0.0210099355,0.0092907095,0,0,0,0.018340223,0.0200543765,0.0310731895,0,0,0.028017276,0,0,0.0358609665,0,0,0.0129318895,0.0149192565,0,0.020988175,0,0,0,0.02139588,0.00757093,0.017802705,0,0.0126543655,0.01577336,0,0.0201555175,0,0.024173261,0,0.0080934615,0,0.0130238745,0.021481971
"CHOYP_PDIA3.1.1|m.60223 IFFAVSNSK y6",0.0488599065,0,0,0.0370942615,0.0159397945,0,0,0,0.0324833485,0.0350483395,0.0531162705,0,0,0.049054115,0.0244518435,0,0.06248346,0,0,0.0226350645,0.026373932,0.0391996025,0.0366287135,0,0,0,0.037241557,0,0.0319826455,0,0.0226220315,0.026438829,0,0.0355604015,0,0.041978269,0,0.0149206645,0,0.022531168,0.0365731525
"CHOYP_PDIA3.1.1|m.60223 VADAMSTDLK y5",0.015527073,0.0079758955,0,0.0119659605,0,0.012847445,0.0135167245,0,0.0105487635,0.011808481,0.0170487215,0.018100825,0,0.0143488765,0.0116383845,0,0.0249899685,0,0.0116011475,0.010133935,0.006989753,0.0134368575,0.0093165995,0.0106407515,0.0137493065,0.0081051055,0,0.006512738,0.009107992,0.00761126,0.011527465,0.008764488,0,0.0120523355,0.0147463025,0,0.0134115175,0.005395198,0.011977052,0.0070100695,0.009735108
"CHOYP_PDIA3.1.1|m.60223 VADAMSTDLK y6",0.024312459,0.013007573,0,0.020901055,0.027399538,0.0220167365,0,0,0.018368316,0.0197175375,0.029632038,0.0316377165,0,0.024753185,0.0194462605,0,0.0425969945,0.029337976,0.019649717,0.0181905035,0,0.0237242925,0.016652636,0.0181297365,0,0.0141539605,0,0.01289174,0.0151245975,0,0.018488343,0.015016819,0.0086648095,0.0206170165,0.0261438,0,0.0253097345,0.009163275,0.020498381,0.0122635115,0.0176399055
"CHOYP_PDIA3.1.1|m.60223 VADAMSTDLK y7",0.0215225175,0.0119685985,0,0.0177025225,0.024203862,0.0197595215,0,0,0.016223282,0,0.025825706,0.028806186,0,0.021937259,0.0175813355,0,0.037994361,0,0.017565777,0.015863312,0,0.0206201895,0.0145554475,0.016411001,0,0.0125408885,0.016156552,0.010863405,0.0137034635,0,0.017326506,0.013689634,0,0.0187126635,0.0223937875,0,0.020780553,0.007843543,0.018313897,0.010606404,0.015998227
"CHOYP_PSA.1.1|m.27259 AGMISTVDVLK y3",0.0012038525,0,0,0.000925294,0,0.0009746865,0,0,0.000736861,0,0.0014835025,0.001182746,0,0,0.001012193,0.0009892205,0.001896266,0.001477694,0.000886406,0,0,0.001226063,0.0006383,0.000550723,0,0.0008341825,0,0.000830299,0.0007070135,0.000599426,0.0007693,0.0004916855,0,0,0.00099909,0,0.0011188245,0.0002872375,0.0011637525,0,0
"CHOYP_PSA.1.1|m.27259 AGMISTVDVLK y6",0.004775527,0.0026648755,0.0033229765,0.0037858135,0.00189281,0.0040395115,0.0043991335,0,0.003041443,0.0044686615,0.0055206555,0.005081593,0,0.004297713,0.0037154225,0,0.0079563965,0,0.0036094085,0.003144765,0.002211328,0.004541733,0.003238439,0.003002604,0.003476788,0.00331371,0.002798501,0.0045803905,0.003522917,0.0027029505,0.002924835,0.002395327,0,0.0028953415,0.003834959,0.0046283935,0.0047998115,0.001247564,0,0.0020386335,0.0033195875
"CHOYP_PSA.1.1|m.27259 AGMISTVDVLK y7",0.031312951,0.017698602,0.0202409085,0.0230836555,0.010781776,0.0251164815,0.027581907,0,0.0187259495,0.027206221,0.034595404,0.0326242445,0,0.0272754305,0.0228499415,0,0.050186605,0,0.0226392875,0.0191989135,0.0128336705,0,0.019943549,0.018277948,0,0.0206754855,0.017947084,0.027471459,0.0215777755,0.0162890465,0.0190139875,0.0151558355,0,0.0174222335,0.0256172425,0.0288726835,0.0284260445,0.0077041375,0,0.013085152,0.0193355815
"CHOYP_PSA.1.1|m.27259 SENDLPEDSTWK y4",0.0007321895,0.0006712195,0,0.0006096015,0.0003252155,0,0,0,0.000476149,0.000640462,0.000746493,0.0007461005,0,0.0006844025,0.0005295055,0,0,0,0,0.0005019825,0.0003831685,0.000823015,0,0,0.000527244,0,0,0,0.0006059165,0,0.000533282,0.000410575,0,0,0,0,0.000709492,0,0,0,0
"CHOYP_PSA.1.1|m.27259 SENDLPEDSTWK y7",0.0170864985,0.0145034,0,0.012539311,0.008656689,0.013184517,0.0131255015,0,0.010373713,0.013918718,0.017285954,0.0153792195,0,0.0141583495,0.012553182,0,0.0221617235,0,0.0130296335,0.010069091,0.00799809,0,0.0118233735,0.0123004645,0.013475483,0,0.011461689,0,0,0.0094153635,0.0115873205,0.0099324375,0,0.009010762,0.014198137,0,0.0165120535,0.005874825,0,0.0082923285,0.0096917615
"CHOYP_PSA.1.1|m.27259 SENDLPEDSTWK y8",0.002186487,0.001712815,0,0.0016094605,0.001043843,0,0.0015108265,0,0.0011387325,0,0.0021928315,0.0020420365,0,0.0016910595,0.0015266725,0,0.0027617075,0,0.001591337,0.0010887915,0.001022143,0.001672565,0.001493525,0.0015932575,0.001779101,0,0.0013854695,0,0.0014090795,0,0.0015790475,0.0011975745,0.0005999735,0.001107764,0,0,0.001948711,0.0007143825,0,0.0011592945,0.001134044
"CHOYP_PSA.1.1|m.27259 YFQIAYPLPK y4",0.005039848,0.0044388875,0.0032824535,0.0034711835,0.0016058725,0.003762577,0.0042574455,0,0.003196589,0.0043869725,0.005206099,0.004377387,0,0.003992354,0.0035259635,0,0.007176082,0,0.003480282,0.002790158,0,0.00455162,0.0031853295,0.0030895325,0,0.0031304935,0.0027382095,0.00197906,0.0032574175,0.002637637,0,0.002532279,0,0.002597865,0.0036458965,0,0.0043446105,0.0015498135,0,0.0019786615,0.0028661205
"CHOYP_PSA.1.1|m.27259 YFQIAYPLPK y6",0.009099848,0.00817605,0,0.006590117,0,0.007132495,0,0,0.0059306455,0.007833299,0.0092551105,0.007991249,0,0.0073294995,0.006342345,0,0.01323729,0,0.0068430645,0.005218562,0,0.007973725,0.006243593,0.0058463245,0,0.0059303575,0.0046264925,0.003496867,0.0054288365,0.005290746,0.005259279,0.004945104,0,0.0048225025,0.0069717315,0,0.0081367455,0.0025475055,0,0.003594553,0.005274381
"CHOYP_PSA.1.1|m.27259 YFQIAYPLPK y7",0.00940459,0.008225911,0,0.007226192,0.0030048575,0.0077630385,0,0,0.0063682965,0.008277948,0.0093404145,0.008434925,0,0.007718521,0.0070613655,0,0.013807424,0,0.0067740125,0.005681858,0,0.008138231,0.0061599245,0.0058157225,0,0,0.005126871,0,0.0058963315,0.0056184225,0.005752431,0.0047152,0,0.005122808,0.007157355,0,0.008315563,0.0028926575,0,0.0037435515,0.0056667425
