"","O01","O04","O06","O08","O10","O100","O101","O102","O103","O106","O118","O121","O122","O124","O128","O131","O137","O14","O140","O145","O147","O17","O21","O22","O24","O26","O30","O31","O32","O35","O40","O43","O46","O49","O51","O52","O56","O60","O64","O66","O71","O78","O90","O91","O96","O99"
"CHOYP_PDIA3.1.1|m.60223 IFFAVSNSK y5",0.0284849885,NA,0.0214149355,0.0218245665,0.0210099355,0.0092907095,NA,NA,NA,0.018340223,0.0200543765,0.0310731895,NA,NA,NA,0.028017276,NA,NA,0.0358609665,NA,NA,0.0129318895,0.0149192565,NA,0.020988175,NA,NA,NA,0.02139588,0.00757093,0.017802705,NA,0.0126543655,NA,0.01577336,NA,0.0201555175,NA,NA,NA,0.024173261,NA,0.0080934615,NA,0.0130238745,0.021481971
"CHOYP_PDIA3.1.1|m.60223 IFFAVSNSK y6",0.0488599065,NA,NA,0.037940336,0.0370942615,0.0159397945,NA,NA,NA,0.0324833485,0.0350483395,0.0531162705,NA,NA,NA,0.049054115,0.0244518435,NA,0.06248346,NA,NA,0.0226350645,0.026373932,0.0391996025,0.0366287135,NA,NA,NA,0.037241557,NA,0.0319826455,NA,0.0226220315,NA,0.026438829,NA,0.0355604015,NA,NA,NA,0.041978269,NA,0.0149206645,NA,0.022531168,0.0365731525
"CHOYP_PDIA3.1.1|m.60223 VADAMSTDLK y5",0.015527073,0.0079758955,NA,0.0134777,0.0119659605,NA,0.012847445,0.0135167245,NA,0.0105487635,0.011808481,0.0170487215,0.013162521,0.018100825,NA,0.0143488765,0.0116383845,NA,0.0249899685,NA,0.0116011475,0.010133935,0.006989753,0.0134368575,0.0093165995,0.0106407515,0.0137493065,0.0081051055,NA,0.006512738,0.009107992,0.00761126,0.011527465,0.0133604865,0.008764488,NA,0.0120523355,0.0195193935,0.0147463025,0.0151587525,NA,0.0134115175,0.005395198,0.011977052,0.0070100695,0.009735108
"CHOYP_PDIA3.1.1|m.60223 VADAMSTDLK y6",0.024312459,0.013007573,NA,0.0233109875,0.020901055,0.027399538,0.0220167365,NA,NA,0.018368316,0.0197175375,0.029632038,0.0220833915,0.0316377165,NA,0.024753185,0.0194462605,NA,0.0425969945,0.029337976,0.019649717,0.0181905035,NA,0.0237242925,0.016652636,0.0181297365,NA,0.0141539605,NA,0.01289174,0.0151245975,NA,0.018488343,0.022813607,0.015016819,0.0086648095,0.0206170165,0.0320502375,0.0261438,0.0269075505,NA,0.0253097345,0.009163275,0.020498381,0.0122635115,0.0176399055
"CHOYP_PDIA3.1.1|m.60223 VADAMSTDLK y7",0.0215225175,0.0119685985,NA,0.021253469,0.0177025225,0.024203862,0.0197595215,NA,NA,0.016223282,NA,0.025825706,0.0196562865,0.028806186,NA,0.021937259,0.0175813355,NA,0.037994361,NA,0.017565777,0.015863312,NA,0.0206201895,0.0145554475,0.016411001,NA,0.0125408885,0.016156552,0.010863405,0.0137034635,NA,0.017326506,0.019525248,0.013689634,NA,0.0187126635,0.0289081985,0.0223937875,0.0239036655,NA,0.020780553,0.007843543,0.018313897,0.010606404,0.015998227
"CHOYP_PSA.1.1|m.27259 AGMISTVDVLK y3",0.0012038525,NA,NA,0.0011283555,0.000925294,NA,0.0009746865,NA,NA,0.000736861,NA,0.0014835025,0.0011800105,0.001182746,NA,NA,0.001012193,0.0009892205,0.001896266,0.001477694,0.000886406,NA,NA,0.001226063,0.0006383,0.000550723,NA,0.0008341825,NA,0.000830299,0.0007070135,0.000599426,0.0007693,NA,0.0004916855,NA,NA,NA,0.00099909,0.001098785,NA,0.0011188245,0.0002872375,0.0011637525,NA,NA
"CHOYP_PSA.1.1|m.27259 AGMISTVDVLK y6",0.004775527,0.0026648755,0.0033229765,0.00403338,0.0037858135,0.00189281,0.0040395115,0.0043991335,NA,0.003041443,0.0044686615,0.0055206555,0.0042805105,0.005081593,NA,0.004297713,0.0037154225,NA,0.0079563965,NA,0.0036094085,0.003144765,0.002211328,0.004541733,0.003238439,0.003002604,0.003476788,0.00331371,0.002798501,0.0045803905,0.003522917,0.0027029505,0.002924835,0.0041346925,0.002395327,NA,0.0028953415,0.005574673,0.003834959,0.0053490625,0.0046283935,0.0047998115,0.001247564,NA,0.0020386335,0.0033195875
"CHOYP_PSA.1.1|m.27259 AGMISTVDVLK y7",0.031312951,0.017698602,0.0202409085,0.0263012075,0.0230836555,0.010781776,0.0251164815,0.027581907,NA,0.0187259495,0.027206221,0.034595404,0.026134193,0.0326242445,NA,0.0272754305,0.0228499415,NA,0.050186605,NA,0.0226392875,0.0191989135,0.0128336705,NA,0.019943549,0.018277948,NA,0.0206754855,0.017947084,0.027471459,0.0215777755,0.0162890465,0.0190139875,0.0259699085,0.0151558355,NA,0.0174222335,0.0324159295,0.0256172425,0.032784528,0.0288726835,0.0284260445,0.0077041375,NA,0.013085152,0.0193355815
"CHOYP_PSA.1.1|m.27259 SENDLPEDSTWK y4",0.0007321895,0.0006712195,NA,0.0006360415,0.0006096015,0.0003252155,NA,NA,NA,0.000476149,0.000640462,0.000746493,NA,0.0007461005,NA,0.0006844025,0.0005295055,NA,NA,NA,NA,0.0005019825,0.0003831685,0.000823015,NA,NA,0.000527244,NA,NA,NA,0.0006059165,NA,0.000533282,NA,0.000410575,NA,NA,NA,NA,0.0008980135,NA,0.000709492,NA,NA,NA,NA
"CHOYP_PSA.1.1|m.27259 SENDLPEDSTWK y7",0.0170864985,0.0145034,NA,0.0128980945,0.012539311,0.008656689,0.013184517,0.0131255015,NA,0.010373713,0.013918718,0.017285954,0.014748342,0.0153792195,NA,0.0141583495,0.012553182,NA,0.0221617235,NA,0.0130296335,0.010069091,0.00799809,NA,0.0118233735,0.0123004645,0.013475483,NA,0.011461689,NA,NA,0.0094153635,0.0115873205,NA,0.0099324375,NA,0.009010762,0.0176179755,0.014198137,0.017744599,NA,0.0165120535,0.005874825,NA,0.0082923285,0.0096917615
"CHOYP_PSA.1.1|m.27259 SENDLPEDSTWK y8",0.002186487,0.001712815,NA,0.00147536,0.0016094605,0.001043843,NA,0.0015108265,NA,0.0011387325,NA,0.0021928315,0.001872343,0.0020420365,NA,0.0016910595,0.0015266725,NA,0.0027617075,NA,0.001591337,0.0010887915,0.001022143,0.001672565,0.001493525,0.0015932575,0.001779101,NA,0.0013854695,NA,0.0014090795,NA,0.0015790475,NA,0.0011975745,0.0005999735,0.001107764,0.002187007,NA,0.0021745345,NA,0.001948711,0.0007143825,NA,0.0011592945,0.001134044
"CHOYP_PSA.1.1|m.27259 YFQIAYPLPK y4",0.005039848,0.0044388875,0.0032824535,0.0040023675,0.0034711835,0.0016058725,0.003762577,0.0042574455,NA,0.003196589,0.0043869725,0.005206099,0.0037424835,0.004377387,NA,0.003992354,0.0035259635,NA,0.007176082,NA,0.003480282,0.002790158,NA,0.00455162,0.0031853295,0.0030895325,NA,0.0031304935,0.0027382095,0.00197906,0.0032574175,0.002637637,NA,NA,0.002532279,NA,0.002597865,0.0052217995,0.0036458965,0.004447757,NA,0.0043446105,0.0015498135,NA,0.0019786615,0.0028661205
"CHOYP_PSA.1.1|m.27259 YFQIAYPLPK y6",0.009099848,0.00817605,NA,0.0074907455,0.006590117,NA,0.007132495,NA,NA,0.0059306455,0.007833299,0.0092551105,NA,0.007991249,NA,0.0073294995,0.006342345,NA,0.01323729,NA,0.0068430645,0.005218562,NA,0.007973725,0.006243593,0.0058463245,NA,0.0059303575,0.0046264925,0.003496867,0.0054288365,0.005290746,0.005259279,NA,0.004945104,NA,0.0048225025,0.0091678165,0.0069717315,0.0085595435,NA,0.0081367455,0.0025475055,NA,0.003594553,0.005274381
"CHOYP_PSA.1.1|m.27259 YFQIAYPLPK y7",0.00940459,0.008225911,NA,0.0075796055,0.007226192,0.0030048575,0.0077630385,NA,NA,0.0063682965,0.008277948,0.0093404145,0.007598988,0.008434925,NA,0.007718521,0.0070613655,NA,0.013807424,NA,0.0067740125,0.005681858,NA,0.008138231,0.0061599245,0.0058157225,NA,NA,0.005126871,NA,0.0058963315,0.0056184225,0.005752431,NA,0.0047152,NA,0.005122808,0.009654624,0.007157355,0.0088183675,NA,0.008315563,0.0028926575,NA,0.0037435515,0.0056667425
